Serial_number,Muhavara,Meaning,Example
25,अत्र-जल करना,"जलपान, नाराजगी आदि के कारण निराहार के बाद आहार-ग्रहण","- भाई, बहुत दिनों पर आये हो। अत्र-जल तो करते जाओ।"
26,अत्र लगना,स्वस्थ रहना,- उसे ससुराल का ही अत्र लगता है। इसलिए तो वह वहीं का हो गया।
27,अपना किया पाना,कर्म का फल भोगना,"- बेहूदों को जब मुँह लगाया है, तो अपना किया पाओ। झखते क्या हो ?"
28,अपना-सा मुँह लेकर रह जाना,शर्मिन्दा होना,- आज मैंने ऐसी चुभती बात कही कि वे अपना-सा मुँह लिए रह गये।
29,अपनी खिचड़ी अलग पकाना,"स्वार्थी होना, अलग रहना","-यदि सभी अपनी खिचड़ी अलग पकाने लगें, तो देश और समाज की उत्रति होने से रही।"
30,अपने पाँव आप कुल्हाड़ी मारना,संकट मोल लेना,- उससे तकरार कर तुमने अपने पाँव आप कुल्हाड़ी मारी है।
31,अब-तब करना,बहाना करना,"- कोई भी चीज माँगो, वह अब-तब करना शुरू कर देगा।"
32,अब-तब होना,परेशान करना या मरने के करीब होना,- दवा देने से क्या ! वह तो अब-तब हो रहा है।
33,अंग-अंग ढीला होना,अत्यधिक थक जाना,-विवाह के अवसर पर दिन भर मेहमानों के स्वागत में लगे रहने से मेरा अंग-अंग ढीला हो रहा हैं।
34,अंगारे उगलना,कठोर और कड़वी बातें कहना,"- मित्र! अवश्य कोई बात होगी, बिना बात कोई क्यों अंगारे उगलेगा।"
35,अंगारों  पर लोटना,ईर्ष्या से व्याकुल होना,- मेरे सुख को देखकर रामू अंगारों पर लोटता हैं।
36,अँगुली उठाना,किसी के चरित्र या ईमानदारी पर संदेह व्यक्त करना,- मित्र! हमें ऐसा कोई काम नहीं करना चाहिए जिससे कोई हम  पर अँगुली उठाए।
37,अँगुली पकड़कर पहुँचा पकड़ना,थोड़ा पाकर अधिक पाने की कोशिश करना,"- जब भिखारी एक रुपया देने के बाद और रुपए मांगने लगा तो मैंने उससे कहा- अँगुली पकड़कर पहुँचा पकड़ते हो, जाओ यहाँ से।"
38,अँगूठा छाप,अनपढ़,"- रामेश्वर अँगूठा छाप हैं, परंतु अब वह पढ़ना चाहता हैं।"
39,अंगूर खट्टे होना,कोई वस्तु न मिलने पर उससे विरक्त होना,- जब लोमड़ी को अंगूर नहीं मिले तो वह  कहने लगी कि अंगूर खट्टे हैं।
40,अंजर-पंजर ढीला होना,शरीर शिथिल होना या बहुत थक जाना,- दिन-भर भागते-भागते आज तो मेरा अंजर-पंजर ढीलाहो गया।
41,अंडे सेना,घर से बाहर न निकलना; घर में ही बैठे रहना,"- रामू की पत्नी ने कहा कि कुछ काम करो, अंडे सेने से काम नहीं चलेगा।"
42,अंतड़ियों के बल खोलना,बहुत दिनों के बाद भरपेट भोजन करना,"- आज पंडित जी का न्योता हैं, आज  वे अपनी अंतड़ियों के बल खोल देंगे।"
43,अंतड़ियों में बल पड़ना,पेट में दर्द होना,- दावत में खाना अधिक खाकर मेरी तो अंतड़ियों में बल पड़ गए।
44,अंतिम घड़ी आना,मौत निकट आना,- शायद रामू की दादी की अंतिम घड़ी आ गई हैं। वह पंद्रह दिन से बिस्तर पर पड़ी हैं।
45,अंधा बनना,ध्यान न देना,"- अरे मित्र! तुम तो जान-बुझकर अंधे बन रहे हो- सब जानते हैं कि रामू पैसे वापस नहीं करता,  फिर भी तुमने उसे पैसे उधार दे दिए।"
46,अंधे के हाथ बटेर लगना,अनाड़ी आदमी को सफलता प्राप्त होना,"- रामू मात्र आठवीं पास हैं, फिर भी उसकी सरकारी नौकरी लग गई।  इसी को कहते हैं- अंधे के हाथ बटेर लगना।"
47,अंधे को दो आँखें मिलना,मनोरथ सिद्ध होना,"- एम.ए., बी.एड. करते ही प्रेम की नौकरी लग गई। उसे और क्या चाहिए-  अंधे को दो आँखें मिल गई।"
48,अंधेर मचना,अत्याचार करना,- औरंगजेब ने अपने शासनकाल में बहुत अंधेर मचाया था।
49,अक्ल का अंधा,मूर्ख व्यक्ति,"- वह अक्ल का अंधा नहीं, जैसा कि आप समझते हैं।"
50,अक्ल के पीछे लट्ठ लेकर फिरना,हर वक्त मूर्खता का काम करना,"- रमेश तो हर वक्त अक्ल के पीछे लट्ठ लिए फिरता हैं- चीनी लेने भेजा था,  नमक लेकर आ गया।"
51,अक्ल घास चरने जाना,वक्त पर बुद्धि का काम न करना,"- अरे मित्र! लगता हैं, तुम्हारी अक्ल घास चरने गई हैं तभी तो तुमने सरकारी नौकरी छोड़ दी।"
52,अक्ल ठिकाने लगना,गलती समझ में आना,"- जब तक उस चोर को पुलिस के हवाले नहीं करोगे, उसकी अक्ल ठिकाने नहीं आएगी।"
53,अगर-मगर करना,तर्क करना या टालमटोल करना,- ज्यादा अगर-मगर करो तो जाओ यहाँ से; हमें तुम्हारे जैसा नौकर नहीं चाहिए।
54,अपना रास्ता नापना,चले जाना,- मैंने रामू को उसकी कृपा का धन्यवाद देकर अपना रास्ता नापा।
55,अपना सिक्का जमाना,अपनी धाक या प्रभुत्व जमाना,- रामू ने कुछ ही दिनों में अपने मोहल्ले में अपना सिक्का जमा लिया हैं।
56,अपना सिर ओखली में देना,जान-बूझकर संकट मोल लेना,- खटारा स्कूटर खरीदकर मोहन ने अपना सिर ओखली में दे दिया हैं।
57,अपनी खाल में मस्त रहना,अपने आप में संतुष्ट रहना,"- वह तो अपनी खाल में मस्त रहता हैं, उसे किसी से कोई मतलब नहीं हैं।"
58,अढाई चावल की खिचड़ी अलग पकाना-,सबसे अलग रहना,- मोहन आजकल अढ़ाई चावल की खिचड़ी अलग पकाते है।
59,अंगारों पर पैर रखना,"अपने को खतरे में डालना, इतराना",- भारतीय सेना अंगारों पर पैर रखकर देश की रक्षा करते है।
60,अक्ल का अजीर्ण होना,आवश्यकता से अधिक अक्ल होना,"- सोहन किसी भी विषय में दूसरे को महत्व नही देता है,    उसे अक्ल का अजीर्ण हो गया है।"
61,अक्ल दंग होना,चकित होना,- मोहन को पढ़ाई में ज्यादा मन नहीं लगता लेकिन परीक्षा परिणाम आने पर सब का   अक्ल दंग हो गया।
62,अक्ल का पुतला,बहुत बुद्धिमान,- विदुर जी अक्ल का पुतला थे।
63,अन्त पाना,भेद पाना,- उसका अन्त पाना कठिन है।
64,अन्तर के पट खोलना,विवेक से काम लेना,- हर हमेशा हमें अन्तर के पट खोलना चाहिए।
65,अक्ल के घोड़े दौड़ाना,कल्पनाएँ करना,- वह हमेशा अक्ल के घोड़े दौड़ाता रहता है।
66,अपने दिनों को रोना,अपनी स्वयं की दुर्दशा पर शोक प्रकट करना,"- वह तो हर वक्त अपने ही दिनों को रोता रहता हैं,    इसलिए कोई उससे बात नहीं करता।"
67,अलाउद्दीन का चिराग,आश्चर्यजनक या अद्भुत वस्तु,- रामू कलम पाकर ऐसे चल पड़ा जैसे उसे अलाउद्दीन का   चिराग मिल गया हो।
68,अल्लाह को प्यारा होना,मर जाना,- मुल्लाजी कम उम्र में ही अल्लाह को प्यारे हो गए।
69,अपनी डफली आप बजाना-,अपने मन की करना,"- राधा दूसरे की बात नहीं सुनती, वह हमेशा अपनी डफली आप बजाती है।"
70,अंग-अंग ढीला होना,थक जाना,- ऑफिस में इतना अधिक काम है कि शाम तक अंग-अंग ढीला हो जाता है।
71,अंग-अंग मुसकाना,अति प्रसन्न होना,- विवाह की बात पक्की होने की खबर को सुनते ही करीना का अंग-अंग मुसकाने लगा।
72,अक्ल के पीछे लट्ठ लिए फिरना,हर समय मूर्खतापूर्ण कार्य करना,- जो आदमी अक्ल के पीछे लट्ठ लिए फिरता है उसे मैं इतनी बड़ी जिम्मेदरी  कैसे सौंप सकता हूँ?
73,अगर मगर करना,टालमटोल करना,- मेरे एक दोस्त ने मुझसे वायदा किया था कि जब भी कोई जरूरत हो वह मेरी मदद करेगा।  आज जब मैंने मदद माँगी तो अगर-मगर करने लगा।
74,अगवा करना,अपहरण करना,- मुरली बाबू के बेटे को डाकुओं ने अगवा कर लिया है और अब पाँच लाख की फिरौती माँग रहे हैं।
75,अति करना,मर्यादा का उल्लंघन करना,"- भाई, आपने भी अति कर दी है, हमेशा अपने बच्चों को डाँटते ही रहते हो। कभी तो प्यार से बात किया करो।"
76,अपना-अपना राग अलापना,किसी की न सुनना,- सभी छात्र एक साथ प्रधानाचार्य के कमरे में घुस गए और लगे अपना-अपना राग अलापने। बेचारे प्रधानाचार्य सर पकड़कर बैठ गए।
77,अपनी राम कहानी सुनाना,अपना हाल बताना,- यहाँ के अधिकारियों ने तो अपने कानों में तेल डाल रखा है। किसी की सुनना ही  नहीं चाहते।
78,अरमान निकालना,इच्छा पूरी करना,- हो गई न तुम्हारे मन की। निकाल लो मन के सारे अरमान।
79,अन्धों में काना राजा-,अज्ञानियों में अल्पज्ञान वाले का सम्मान होना,
80,अंकुश देना-,दबाव डालना,
81,अंग में अंग चुराना-,शरमाना,
82,अंग-अंग फूले न समाना-,आनंदविभोर होना,
83,अंगार बनना-,"लाल होना, क्रोध करना",
84,अंडे का शाहजादा-,अनुभवहीन,
85,अठखेलियाँ सूझना-,दिल्लगी करना,
86,अँधेरे मुँह-,"प्रातः काल, तड़के",
87,अड़ियल टट्टू-,रूक-रूक कर काम करना,
88,अपना घर समझना-,बिना संकोच व्यवहार,
89,अड़चन डालना-,बाधा उपस्थित करना,
90,अरमान निकालना-,इच्छाएँ पूरी करना,
91,अरण्य-चन्द्रिका-,निष्प्रयोजन पदार्थ,
92,आँख भर आना,आँसू आना,- बेटी की विदाई पर माँ की आखें भर आयी।
93,आँखों में बसना,हृदय में समाना,- वह इतना सुंदर है की उसका रूप मेरी आखों में बस गया है।
94,आँखे खुलना,सचेत होना,- ठोकर खाने के बाद ही बहुत से लोगों की आँखे खुलती है।
95,आँख का तारा -,बहुत प्यारा,- आज्ञाकारी बच्चा माँ-बाप की आँखों का तारा होता है।
96,आँखे दिखाना,बहुत क्रोध करना,"- राम से मैंने सच बातें कह दी, तो वह मुझे आँख दिखाने लगा।"
97,आसमान से बातें करना,बहुत ऊँचा होना,"- आजकल ऐसी ऐसी इमारते बनने लगी है, जो आसमान से बातें करती है।"
98,आँच न आने देना,जरा भी कष्ट या दोष न आने देना,- तुम निश्र्चिन्त रहो। तुमपर आँच न आने दूँगा।
99,आठ-आठ आँसू रोना,बुरी तरह पछताना,"- इस उमर में न पढ़ा, तो आठ-आठ आँसू न रोओ तो कहना।"
100,आसन डोलना,लुब्ध या विचलित होना,- धन के आगे ईमान का भी आसन डोल जाया करता है।
101,आस्तीन का साँप,कपटी मित्र,- उससे सावधान रहो। आस्तीन का साँप है वह।
102,आसमान टूट पड़ना,गजब का संकट पड़ना,- पाँच लोगों को खिलाने-पिलाने में ऐसा क्या आसमान टूट पड़ा कि तुम सारा घर सिर पर उठाये हो ?
103,आकाश छूना,बहुत तरक्की करना,- राखी एक दिन अवश्य आकाश चूमेगी
104,आकाश-पाताल एक करना,अत्यधिक उद्योग/परिश्रम करना,- सूरज ने इंजीनियर पास करने के लिए आकाश-पाताल एक कर दिया।
105,आकाश-पाताल का अंतर होना,बहुत अधिक अंतर होना,"- कहाँ मैं और कहाँ वह मूर्ख, हम दोनों में आकाश-पाताल का अंतर है।"
106,आँच आना,हानि या कष्ट पहुँचना,- जब माँ साथ हैं तो बच्चे को भला कैसे आँच आएगी।
107,आँचल पसारना,प्रार्थना करना या किसी से कुछ माँगना,- मैं ईश्वर से आँचल पसारकर यही माँगता हूँ   कि तुम कक्षा में उत्तीर्ण हो जाओ।
108,आँतें बुलबुलाना,बहुत भूख लगना,"- मैंने सुबह से कुछ नहीं खाया, मेरी आँतें कुलबुला रही हैं।"
109,आँतों में बल पड़ना,पेट में दर्द होना,- रात की पूड़ियाँ खाकर मेरी आँतों में बल पड़ गए।
110,आँधी के आम होना,बहुत सस्ता होना,"- आजकल तो आलू आँधी के  आम हो रहे हैं, जितने चाहो, ले लो।"
111,आँसू पीना या पीकर रहना,दुःख या कष्ट में भी शांत रहना,- जब राकेश कक्षा में फेल हो गया तो वह आँसू पीकर रह गया।
112,आकाश का फूल होना,अप्राप्य वस्तु,- आजकल दिल्ली में घर खरीदना तो आकाश का फूल हो रहा हैं।
113,आकाश के तारे तोड़ लाना,असंभव कार्य करना,- श्याम हमेशा आकाश के तारे तोड़ने की बात करता हैं।
114,आग उगलना,कड़वी बातें कहना,-रमेश तो हमेशा आग उगलता रहता हैं।
115,आकाश से बातें करना,अत्यधिक ऊँचा होना,- मुंबई की इमारतें तो आकाश से बातें करती हैं।
116,आग बबूला होना,अति क्रुद्ध होना,- राधा  जरा-सी बात पर आग बबूला हो गई।
117,आग पर लोटना,ईर्ष्या से जलना,- मेरी कार खरीदने की बात सुनकर रामू आग पर लोटने लगा।
118,आग में घी डालना,क्रोध को और भड़काना,- आपसी लड़ाई में अनुपम के आँसुओं ने आग में घी डाल दिया
119,आग लगने पर कुआँ खोदना,विपत्ति आने पर/ऐन मौके पर प्रयास करना,"- मित्र, पहले से कुछ करो। आग लगने पर कुआँ    खोदना ठीक नहीं।"
120,आग लगाकर तमाशा देखना,दूसरों में झगड़ा कराके अलग हो जाना,"- वह तो आग लगाकर तमाशा देखने वाला हैं,   वह तुम्हारी क्या मदद करेगा।"
121,आटे-दाल का भाव मालूम होना,दुनियादारी का ज्ञान होना या कटु परिस्थिति का अनुभव होना,- जब पिता की मृत्यु   हो गई तो राकेश को आटे-दाल का भाव मालूम हो गया।
122,आग से खेलना,खतरनाक काम करना,"- मित्र, तस्करी करना बंद कर दो, तुम क्यों आग से खेल रहे हो?"
123,आग हो जाना,अत्यन्त क्रोधित हो जाना,"- सुनिल के स्वभाव से सब परिचित हैं, वह एक ही पल में आग हो जाता हैं।"
124,आगा-पीछा न सोचना,कार्य करते समय हानि-लाभ के बारे में न सोचना,- कुणाल कुछ भी करने से पहले आगा-पीछा   नहीं सोचता।
125,आज-कल करना,टालमटोल करना,"- राजू कह रहा था- उसके दफ्तर में कोई काम नहीं करता, सब आज-कल करते हैं।"
126,आटे के साथ घुन पिसना,अपराधी के साथ निर्दोष को भी सजा मिलना,"- राघव तो जुआरियों के पास केवल खड़ा हुआ था,    पुलिस उसे भी पकड़कर ले गई। इसे ही कहते हैं- आटे के साथ घुन पिसना।"
127,आड़े हाथों लेना,"झिड़कना, बुरा-भला कहना",- सुभम ने जब होमवर्क 
128,"आधा तीतर, आधा बटेर",बेमेल वस्तुएँ,"- राजू तो आधा तीतर, आधा बटेर हैं- हिंदुस्तानी धोती-कुर्ते के साथ सिर पर   अंग्रेजी टोप पहनता हैं।"
129,आसमान पर उड़ना,थोड़ा पैसा पाकर इतराना,"- उसकी 10 हजार की लॉटरी क्या खुल गई, वह तो आसमान पर उड़ रहा हैं।"
130,आसमान पर चढ़ना,बहुत अभिमान करना,- आजकल मदन का मिजाज आसमान पर चढ़ा हुआ दिखाई देता हैं।
131,आसमान पर थूकना,किसी महान् व्यक्ति को बुरा-भला कहना,- नेताजी सुभाषचंद्र बोस एक महान् देशभक्त थे उनके बारे में   कुछ कहना-आसमान पर थूकने जैसा हैं।
132,आसमान पर मिजाज होना,अत्यधिक अभिमान होना,- सरकारी नौकरी लगने के बाद उसका आसमान पर मिजाज हो गया हैं।
133,आसमान सिर पर उठाना,अत्यधिक ऊधम मचाना,"- इस बच्चे ने तो आसमान सिर पर उठा लिया हैं, इसे ले जाओ यहाँ से।"
134,आसमान सिर पर टूटना,बहुत मुसीबत आना,- पिता के मरते ही राजू के सिर पर आसमान टूट पड़ा।
135,"आसमान से गिरे, खजूर में अटके",एक परेशानी से निकलकर दूसरी परेशानी में आना,"- अध्यापक की मदद से राजू गणित   में तो पास हो गया, परंतु विज्ञान में उसकी कम्पार्टमेंट आ गई। इसी को कहते हैं- आसमान से गिरे, खजूर में अटके।"
136,आस्तीन चढ़ाना,लड़ने को तैयार होना,- मुन्ना हर वक्त आस्तीन चढ़ाकर रखता हैं।
137,आह लेना,बद्दुआ लेना,"- रमेश के दादा हमेशा कहते हैं- किसी की आह मत लो, सबकी दुआएँ लो।"
138,आँधी के आम,बिना परिश्रम के मिली वस्तु,- आँधी के आमों की तरह से मिली दौलत बहुत दिनों तक नहीं रुकती।
139,आखिरी साँसें गिनना,मरणासन्न होना,"- मदन की माँ आखिरी साँस ले रही है, सभी डॉक्टरों ने जवाब दे दिया है।"
140,आग देना,मृतक का दाह-संस्कार करना,- भारतीय संस्कृति के अनुसार पिता की चिता को बड़ा बेटा ही आग देता है।
141,आफत का मारा,दुखी,- जब कोई नौकरी न मिली तो ट्यूशन पढ़ाने लगा। आफत का मारा बेचारा क्या करता ?
142,आफत मोल लेना,व्यर्थ का झगड़ा मोल लेना,"- तुमसे बात करके तो मैंने आफत मोल  ले ली। मुझे माफ करो,  मैं तुमसे बात नहीं कर सकता।"
143,आव देखा न ताव,बिना सोच-विचार के काम करना,"- दोनों भाइयों में झगड़ा हो गया। गुस्से में आकर छोटे भाई ने आव  देखा न ताव, डंडे से बड़े भाई का सर फोड़ दिया।"
144,आहुति देना,जान न्योछावर करना,- वीरों ने अपनी जान की परवाह किए बिना देश के लिए हमेशा अपनी आहुति दी है।
145,आग का पुतला-,क्रोधी,
146,आग पर आग डालना-,जले को जलाना,
147,आग पर पानी डालना-,"क्रुद्ध को शांत करना, लड़नेवालों को समझाना-बुझाना",
148,आग पानी का बैर-,सहज वैर,
149,आग बोना-,झगड़ा लगाना,
150,आग लगाकर पानी को दौड़ाना-,पहले झगड़ा लगाकर फिर उसे शांत करने का यत्न करना,
151,आग से पानी होना-,क्रोध करने के बाद शांत हो जाना,
152,आग में कूद पड़ना-,खतरा मोल लेना,
153,आन की आन में-,फौरन ही,
154,आग रखना-,मान रखना,
155,आसमान दिखाना-,पराजित करना,
156,आड़े आना-,नुकसानदेह,
157,अगिया बैताल-,क्रोधी,
158,इंद्र की परी,बहुत सुन्दर स्त्री,"- राधा तो इंद्र की परी हैं, वह तो विश्व सुन्दरी बनेगी।"
159,इज्जत उतारना,अपमानित करना,- जब चीनी लेकर पैसे नहीं दिए तो दुकानदार ने ग्राहक की इज्जत उतार दी।
160,इज्जत मिट्टी में मिलाना,प्रतिष्ठा या सम्मान नष्ट करना, - रामू की शराब की आदत ने उसके परिवार की इज्जत मिट्टी में मिला दी हैं।
161,इधर-उधर की लगाना या इधर की उधर लगाना,चुगली करना," - मित्र, इधर-उधर की लगाना छोड़ दो, बुरी बात हैं।"
162,इधर-उधर की हाँकना,बेकार की बातें करना या गप मारना,"- वह हमेशा इधर-उधर की हाँकता रहता हैं, कभी बैठकर पढ़ता नहीं।"
163,"इस कान सुनना, उस कान निकालना",ध्यान न देना,"- उसकी बेकार की बातों को तो मैं इस कान सुनता हूँ, उस कान निकाल देता हूँ।"
164,"इस हाथ देना, उस हाथ लेना",तुरन्त फल मिलना,"- रामदीन तो इस हाथ दे, उस हाथ ले में विश्वास करता हैं।"
165,इंद्र  का अखाड़ा,किसी सजी हुई सभा में खूब नाच-रंग होता है,- पहले जमाने में राजा-महाराजाओं के यहाँ इंद्र का अखाड़ा सजता था और आजकल दागी नेताओं के यहाँ।
166,इंतकाल होना,मर जाना,- पिता के इंतकाल के बाद सारे घर की जिम्मेदारी अब फारुख के कंधों पर ही है।
167,इशारे पर नाचना,वश में हो जाना,- जो व्यक्ति अपनी पत्नी के इशारे पर नाचता है वह अपने माँ-बाप की कहाँ सुनेगा।
168,ईंट से ईंट बजाना,युद्धात्मक विनाश लाना,"- शुरू में तो हिटलर ने यूरोप में ईट-से-ईट  बजा छोड़ी, मगर बाद में              खुद उसकी ईंटे बजनी लगी।"
169,ईंट का जबाब पत्थर से देना,जबरदस्त बदला लेना,- भारत अपने दुश्मनों को ईंट का जबाब पत्थर से देगा।
170,ईद का चाँद होना,बहुत दिनों बाद दिखाई देना,"- तुम तो कभी दिखाई ही नहीं देते, तुम्हे देखने को तरस गया,               ऐसा लगता है कि तुम ईद के चाँद हो गए हो।"
171,ईमान बेचना,बेईमानी करना,"- मित्र, ईमान बेचने से कुछ नहीं होगा, परिश्रम करके खाओ।"
172,इधर-उधर करना-,टालमटोल करना,
173,उड़ती चिड़िया को पहचानना,मन की या रहस्य की बात तुरंत जानना,- कोई मुझे धोखा नही दे सकता।               मै उड़ती चिड़िया पहचान लेता हुँ।
174,उन्नीस बीस का अंतर होना,थोड़ा-सा अन्तर,- रामू और मोहन की सूरत में बस उन्नीस-बीस का अन्तर हैं।
175,उलटी गंगा बहाना,अनहोनी या लीक से हटकर बात करना,- अमित हमेशा उल्टी गंगा बहाता हैं - कह रहा था कि             वह हाथों के बल चलकर स्कूल जाएगा।
176,उँगली उठाना,बदनाम करना या दोषारोपण करना,- किसी पर खाहमखाह उँगली उठाना गलत हैं।
177,उँगली पकड़कर पौंहचा पकड़ना,थोड़ा-सा सहारा या मदद पाकर ज्यादा की कोशिश करना,"- उस भिखारी को मैंने एक              रुपया दे दिया              तो वह पाँच रुपए और माँगने लगा। तब मैंने उससे कहा - अरे भाई, तुम तो उँगली पकड़कर पौंहचा पकड़ रहे हो।"
178,उड़ जाना,खर्च हो जाना,"- अरे मित्र, महीना पूरा होने से पहले ही सारा वेतन उड़ जाता हैं।"
179,उड़ती खबर,अफवाह,"- मित्र, ये तो उड़ती खबर हैं। प्रधानमंत्री को कुछ नहीं हुआ।"
180,उड़न-छू हो जाना,गायब हो जाना,"- जो भी हाथ लगा, चोर वही लेकर उड़न-छूहो गया।"
181,उधेड़बुन में पड़ना या रहना,फिक्र या चिन्ता करना,"- रामू को जब देखो, पैसों की उधेड़बुन में लगा रहता हैं।"
182,उबल पड़ना,एकाएक क्रोधित होना,"- दादी माँ से सब बच्चे डरते हैं, पता नहीं वे कब उबल पड़ें।"
183,उलटी माला फेरना,बुराई या अनिष्ट चाहना,- जब आयुष को रमेश ने चाँटा मारा तो वह उल्टी माला फेरने लगा।
184,उलटी-सीधी जड़ना,झूठी शिकायत करना,- उल्टी-सीधी जड़ना तो माया की आदत हैं।
185,उलटी-सीधी सुनाना,डाँटना-फटकारना,- जब माला ने दादी का कहना नहीं माना तो वे उसे उल्टी-सीधी सुनाने लगीं।
186,उलटे छुरे से मूँड़ना,ठगना,- प्रयाग में पण्डे और रिक्शा वाले गरीब ग्रामीणों को उल्टे छुरे से मूँड़ देते हैं।
